FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Eun Soo Lee,73.0,215.0,,Orthodox,1982-03-07,http://ufcstats.com/fighter-details/39c568f8c579913e
Tae Hyun Lee,78.0,295.0,,Orthodox,1975-01-17,http://ufcstats.com/fighter-details/de99da2c0d18d34a
Tommy Lee,67.0,145.0,,Orthodox,1977-01-20,http://ufcstats.com/fighter-details/806975e1b4f47b27
Matt Lee,71.0,155.0,,Orthodox,,http://ufcstats.com/fighter-details/d9e3743bae8d703d
Imani Lee,,,,Orthodox,,http://ufcstats.com/fighter-details/0802be3516ef8f66
Vaughan Lee,66.0,125.0,66.0,Orthodox,1982-10-15,http://ufcstats.com/fighter-details/8bb6f4479685bbcc
Kevin Lee,69.0,170.0,77.0,Orthodox,1992-09-04,http://ufcstats.com/fighter-details/ee9ebceabfd16fa7
Rocky Lee,69.0,145.0,,Orthodox,1987-04-08,http://ufcstats.com/fighter-details/0d1c163b206e8c5f
Andrea Lee,66.0,125.0,69.0,Orthodox,1989-02-11,http://ufcstats.com/fighter-details/05fa626cb33d15b8
JeongYeong Lee,70.0,145.0,73.0,Orthodox,1995-11-13,http://ufcstats.com/fighter-details/d008d785f6347dc2
JungHyun Lee,65.0,125.0,65.0,Orthodox,2002-09-10,http://ufcstats.com/fighter-details/b6033505c245e28b
ChangHo Lee,68.0,135.0,69.0,Orthodox,1994-05-09,http://ufcstats.com/fighter-details/117a06469813e4ef
Macksom Lee,73.0,135.0,75.0,Orthodox,1999-01-06,http://ufcstats.com/fighter-details/9fd299c8356cbf0f
Ricky Legere Jr.,68.0,170.0,,,,http://ufcstats.com/fighter-details/5817df778cc27274
Sherron Leggett,68.0,155.0,,Southpaw,1978-10-27,http://ufcstats.com/fighter-details/4f670b7972fa0a2e
Cheyden Leialoha,68.0,135.0,73.0,Orthodox,1994-03-15,http://ufcstats.com/fighter-details/98cbbc06074c68a4
Claudia Leite,63.0,135.0,64.0,Orthodox,1996-11-04,http://ufcstats.com/fighter-details/90550a08f0b02b6f
Thales Leites,73.0,185.0,78.0,Orthodox,1981-09-06,http://ufcstats.com/fighter-details/cfb65863d5099327
Jovan Leka,,265.0,,,2002-03-15,http://ufcstats.com/fighter-details/182a73d5b4e57871
Stefan Leko,74.0,215.0,,Orthodox,1974-06-03,http://ufcstats.com/fighter-details/d56bb6dff2ae77eb
Gabe Lemley,68.0,155.0,,Orthodox,,http://ufcstats.com/fighter-details/fd4578cac86d75ca
Amanda Lemos,64.0,115.0,65.0,Southpaw,1987-05-22,http://ufcstats.com/fighter-details/3df5493bb279226f
Giacomo Lemos,75.0,247.0,75.0,Orthodox,1989-06-23,http://ufcstats.com/fighter-details/f37822d5b3e47517
Christophe Leninger,72.0,200.0,,Southpaw,,http://ufcstats.com/fighter-details/7269329bd87eb479
Jesse Lennox,69.0,170.0,72.0,Orthodox,1982-03-10,http://ufcstats.com/fighter-details/3ae10ac4df3df05c
Jean Francois Lenogue,72.0,185.0,,Orthodox,1972-11-29,http://ufcstats.com/fighter-details/e60201cfab7d656d
Nik Lentz,68.0,145.0,68.0,Orthodox,1984-08-13,http://ufcstats.com/fighter-details/6fb1ba67bef41b37
Alberta Cerra Leon,68.0,238.0,,,,http://ufcstats.com/fighter-details/6e02c318762f52f1
Victoria Leonardo,65.0,125.0,64.0,Orthodox,1990-02-16,http://ufcstats.com/fighter-details/9dedfdd91070ddd8
Anthony Leone,66.0,135.0,,Orthodox,1987-05-27,http://ufcstats.com/fighter-details/86b9b51a81e9c339
Chad Leonhardt,72.0,170.0,,,1980-02-19,http://ufcstats.com/fighter-details/657d0ed181f04215
Kimo Leopoldo,75.0,235.0,,Orthodox,1968-01-05,http://ufcstats.com/fighter-details/08ae5cd9aef7ddd3
Michael Lerma,,,,,,http://ufcstats.com/fighter-details/f1fd8ec1023c89b3
Lukasz Les,,170.0,,,1981-11-05,http://ufcstats.com/fighter-details/5a8e30ed38a5bc6f
Brock Lesnar,75.0,265.0,81.0,Orthodox,1977-07-12,http://ufcstats.com/fighter-details/513c6f1715e547a8
Frank Lester,71.0,170.0,,Orthodox,1984-06-10,http://ufcstats.com/fighter-details/edd8d5d8089a35f8
Valerie Letourneau,67.0,115.0,68.0,Orthodox,1983-04-29,http://ufcstats.com/fighter-details/46a2f24feb258ae0
Leah Letson,67.0,145.0,71.0,Southpaw,1992-08-21,http://ufcstats.com/fighter-details/8cb78f3a6c2a08f7
Justin Levens,71.0,185.0,,Orthodox,1980-04-18,http://ufcstats.com/fighter-details/8c3f3c43c8ceb778
Marcus LeVesseur,69.0,155.0,70.0,Southpaw,1982-07-17,http://ufcstats.com/fighter-details/182f2b78582de3d8
David Levicki,77.0,275.0,,,,http://ufcstats.com/fighter-details/49590e0508b2c19f
Kyle Levinton,,,,,,http://ufcstats.com/fighter-details/81ddc98fceb30086
Natan Levy,69.0,155.0,71.0,Southpaw,1991-09-30,http://ufcstats.com/fighter-details/a29db9cd4f9ccea5
John Lewis,72.0,155.0,,Southpaw,,http://ufcstats.com/fighter-details/4a01dc8376736ef5
Derrick Lewis,75.0,260.0,79.0,Orthodox,1985-02-07,http://ufcstats.com/fighter-details/d3df1add9d9a7efb
Bevon Lewis,75.0,185.0,79.0,Orthodox,1991-05-05,http://ufcstats.com/fighter-details/899923ff6ab13917
Brandon Lewis,64.0,135.0,70.0,Orthodox,1997-08-02,http://ufcstats.com/fighter-details/6623cb1c27025634
Malik Lewis,72.0,155.0,75.0,Orthodox,1996-03-04,http://ufcstats.com/fighter-details/f60dbe6e05489c4f
Chi Lewis-Parry,81.0,243.0,,,1983-08-10,http://ufcstats.com/fighter-details/a307a10414d0ad00
Li Jingliang,72.0,170.0,71.0,Orthodox,1988-03-20,http://ufcstats.com/fighter-details/e64b96c07d7ce999
Li Yunfeng,68.0,135.0,68.0,Orthodox,1999-03-08,http://ufcstats.com/fighter-details/4c7afd56ef1947ac
Liang Na,65.0,125.0,67.0,Orthodox,1996-07-27,http://ufcstats.com/fighter-details/ec0dcceace7d25a3
Jess Liaudin,69.0,170.0,72.0,Orthodox,,http://ufcstats.com/fighter-details/a8aba6fd8a463043
Chuck Liddell,74.0,205.0,76.0,Orthodox,1969-12-17,http://ufcstats.com/fighter-details/a390eb8a9b2df298
Rodrigo Lidio,71.0,155.0,73.0,Orthodox,1989-07-07,http://ufcstats.com/fighter-details/11b5a809c3120e27
Sam Liera,,,,,,http://ufcstats.com/fighter-details/421ccfc6ddb17958
Zach Light,68.0,170.0,,Orthodox,1974-02-06,http://ufcstats.com/fighter-details/5d7c18191b8aa432
Scott Lighty,74.0,205.0,,,1978-10-15,http://ufcstats.com/fighter-details/998c8890a8dde1eb
Chris Liguori,69.0,185.0,,Orthodox,,http://ufcstats.com/fighter-details/0e31bfd26cc8c503
Donnie Liles,69.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/a1bf037613180253
Jae Suk Lim,69.0,170.0,,Orthodox,1979-11-09,http://ufcstats.com/fighter-details/bbb15f301e4a490a
Hyun Gyu Lim,75.0,170.0,77.0,Orthodox,1985-01-16,http://ufcstats.com/fighter-details/203c957eac95dd87
Juliana Lima,65.0,115.0,65.0,Orthodox,1982-03-15,http://ufcstats.com/fighter-details/75a6a390fd5dca46
Dhiego Lima,74.0,170.0,75.0,Orthodox,1989-01-31,http://ufcstats.com/fighter-details/e9213f53ddeca978
Douglas Lima,73.0,170.0,,,1988-01-05,http://ufcstats.com/fighter-details/264111bf62662fbf
Mabelly Lima,62.0,135.0,,Orthodox,1994-01-25,http://ufcstats.com/fighter-details/6135fd9665fbb74e
Andre Lima,67.0,125.0,67.0,Orthodox,1999-02-04,http://ufcstats.com/fighter-details/b1f21ce050035d58
Felipe Lima,66.0,135.0,68.0,Orthodox,1998-05-07,http://ufcstats.com/fighter-details/9256f591b30c073e
Miguel Linares,,,,,,http://ufcstats.com/fighter-details/18c49685296c60e6
Emiliano Linares,68.0,145.0,72.0,Orthodox,1997-04-21,http://ufcstats.com/fighter-details/a4ef92274a45143d
Matt Lindland,72.0,185.0,74.0,Southpaw,1970-05-17,http://ufcstats.com/fighter-details/0e041d43a47d2e4b
Jake Lindsey,71.0,155.0,,Switch,1986-06-21,http://ufcstats.com/fighter-details/33e00249ef08d3a4
John Lineker,63.0,135.0,67.0,Orthodox,1990-06-12,http://ufcstats.com/fighter-details/c268b2cfebccf652
Austin Lingo,70.0,145.0,70.0,Orthodox,1994-07-10,http://ufcstats.com/fighter-details/305d73ede05e31ad
Lucio Linhares,74.0,185.0,,Orthodox,1973-12-08,http://ufcstats.com/fighter-details/a780d16cf7eed44d
Philipe Lins,74.0,205.0,78.0,Orthodox,1985-08-17,http://ufcstats.com/fighter-details/53c943c873cffe90
Tainara Lisboa,67.0,135.0,67.0,Orthodox,1991-03-02,http://ufcstats.com/fighter-details/2c5f5749569eef66
Dean Lister,73.0,185.0,75.0,Orthodox,1976-02-13,http://ufcstats.com/fighter-details/68c6cd5287b473a7
Wesley Little,76.0,205.0,,,,http://ufcstats.com/fighter-details/008c6e1a25751575
Adam Livingston,74.0,155.0,71.0,Orthodox,2001-08-15,http://ufcstats.com/fighter-details/515890922fe9ce96
James Llontop,72.0,155.0,73.0,Orthodox,1999-08-02,http://ufcstats.com/fighter-details/93b2b7caa457cbea
Abner Lloveras,71.0,155.0,,,1982-09-04,http://ufcstats.com/fighter-details/6448e57a9533b7e4
Brian Lo-A-Njoe,67.0,155.0,,Orthodox,,http://ufcstats.com/fighter-details/7abce81b72fbbd9b
John Lober,71.0,199.0,,Orthodox,1968-02-26,http://ufcstats.com/fighter-details/31652c9267606d54
Artem Lobov,69.0,145.0,65.0,Southpaw,1986-08-11,http://ufcstats.com/fighter-details/02f2a9702ba3d167
Dylan Lockard,69.0,145.0,72.0,Orthodox,1992-05-19,http://ufcstats.com/fighter-details/9caa254991a5a698
Ryan Loder,74.0,185.0,76.0,Southpaw,1991-06-05,http://ufcstats.com/fighter-details/d5bab53a1a603aac
Sean Loeffler,75.0,185.0,,Orthodox,1982-05-23,http://ufcstats.com/fighter-details/d3d1ff3f3dfa0931
Christian Lohsen,74.0,155.0,77.0,Southpaw,1995-01-24,http://ufcstats.com/fighter-details/4ab36d70d1b28b58
David Loiseau,72.0,185.0,76.0,Orthodox,1979-12-17,http://ufcstats.com/fighter-details/22e47b53e4ceb27c
Hector Lombard,69.0,185.0,71.0,Southpaw,1978-02-02,http://ufcstats.com/fighter-details/db1f2ed63b54b9a7
Michael Lombardo,72.0,170.0,72.0,Orthodox,1990-04-03,http://ufcstats.com/fighter-details/6d6b9a6cb063b60d
Rocky Long,,145.0,,,1978-02-18,http://ufcstats.com/fighter-details/10e04e5e81f391a0
Thomas Longacre,69.0,145.0,,Orthodox,,http://ufcstats.com/fighter-details/989be26791d0aad4
Loma Lookboonmee,61.0,115.0,61.0,Orthodox,1996-01-18,http://ufcstats.com/fighter-details/4e30e4250cb08b61
Ange Loosa,70.0,170.0,74.0,Orthodox,1993-03-18,http://ufcstats.com/fighter-details/1497e735d9f2560a
Lucas Lopes,74.0,185.0,,,1979-10-05,http://ufcstats.com/fighter-details/1f70dd67ad507990
Dileno Lopes,65.0,135.0,,,1984-09-26,http://ufcstats.com/fighter-details/8270c00fae24c922
Diego Lopes,71.0,145.0,72.0,Orthodox,1994-12-30,http://ufcstats.com/fighter-details/f166e93d04a8c274
Bruno Lopes,74.0,205.0,74.0,Orthodox,1993-04-24,http://ufcstats.com/fighter-details/0abcf6bc47191219
Arthur Lopes,74.0,234.0,77.0,Southpaw,1993-02-17,http://ufcstats.com/fighter-details/2aa481e98185e261
Ivan Lopez,66.0,135.0,,Southpaw,,http://ufcstats.com/fighter-details/0db9d2486d564a3c
Steve Lopez,71.0,155.0,,Orthodox,1984-07-30,http://ufcstats.com/fighter-details/6085ceb59087514b
Federico Lopez,64.0,139.0,,Orthodox,,http://ufcstats.com/fighter-details/9681e0ce67dc978b
Jorge Lopez,70.0,170.0,,Orthodox,1988-11-21,http://ufcstats.com/fighter-details/ee624ee2a18f2a43
Christopher Lopez,70.0,170.0,,,1986-01-30,http://ufcstats.com/fighter-details/5148a665aa527865
Matthew Lopez,67.0,135.0,69.0,Southpaw,1987-01-21,http://ufcstats.com/fighter-details/2fc7e9701642ca38
Benito Lopez,70.0,135.0,73.0,Switch,1994-04-06,http://ufcstats.com/fighter-details/773f7feacf96153e
Gustavo Lopez,65.0,135.0,67.0,Orthodox,1989-06-27,http://ufcstats.com/fighter-details/93b62c5f2ba18e51
Alik Lorenz,74.0,205.0,77.0,Orthodox,1997-01-25,http://ufcstats.com/fighter-details/92b5f4ee9ff40321
Brendan Loughnane,70.0,145.0,70.0,Switch,1989-12-05,http://ufcstats.com/fighter-details/b788862dd1c11eac
Nate Loughran,74.0,185.0,,Orthodox,1980-07-28,http://ufcstats.com/fighter-details/cbf94e4c4af4ff6d
Caolan Loughran,66.0,135.0,68.0,Orthodox,1996-05-18,http://ufcstats.com/fighter-details/42ac4020cba261ad
Rashard Lovelace,,155.0,,,,http://ufcstats.com/fighter-details/e601d71cf8e5be22
Ian Loveland,68.0,145.0,,Orthodox,1983-09-07,http://ufcstats.com/fighter-details/eea0274e153256a0
Jakob Lovstad,75.0,205.0,,Orthodox,,http://ufcstats.com/fighter-details/ad044be25c94dcfd
Waylon Lowe,67.0,145.0,,Southpaw,1980-10-31,http://ufcstats.com/fighter-details/28f62d866c59c709
Brandon Lowe,,155.0,,,,http://ufcstats.com/fighter-details/78ac94d54aa7f378
Joe Lowry,71.0,155.0,73.0,Orthodox,1989-12-12,http://ufcstats.com/fighter-details/86248c84834238e7
Lu Kai,69.0,145.0,69.0,Orthodox,1994-03-01,http://ufcstats.com/fighter-details/a2d23e684b3db732
Lu Zhengyong,,125.0,,,,http://ufcstats.com/fighter-details/dc1bfd47c3b21ad3
Robert Lucarelli,74.0,245.0,,,,http://ufcstats.com/fighter-details/96087e90d900f0ef
Matt Lucas,73.0,205.0,,,,http://ufcstats.com/fighter-details/668222c99c5c311d
Cleber Luciano,66.0,155.0,,,,http://ufcstats.com/fighter-details/9bdebbf2735d14c2
Stephanie Luciano,66.0,115.0,65.0,Orthodox,1999-12-16,http://ufcstats.com/fighter-details/1b35af4d1529adf6
Iasmin Lucindo,63.0,115.0,66.0,Orthodox,2002-01-08,http://ufcstats.com/fighter-details/abcf2cc6efc42031
Duane Ludwig,70.0,170.0,70.0,Orthodox,1978-08-04,http://ufcstats.com/fighter-details/84ac950d4c1722dd
Lawrence Lui,67.0,135.0,72.0,Orthodox,1996-08-04,http://ufcstats.com/fighter-details/a1ad35b98a9136e5
Mike Lullo,68.0,145.0,,Orthodox,1979-07-24,http://ufcstats.com/fighter-details/e26882820f9e8df5
Juan Andres Luna,67.0,125.0,72.0,Orthodox,1995-08-20,http://ufcstats.com/fighter-details/1fd9f744105024a8
Paula Luna,62.0,125.0,62.0,Orthodox,1999-07-05,http://ufcstats.com/fighter-details/5b1effb0db45273a
Juan Adrian Luna,,135.0,,,1995-08-20,http://ufcstats.com/fighter-details/e3b30b573e7f0d19
Santiago Luna,69.0,135.0,74.0,Orthodox,2004-08-06,http://ufcstats.com/fighter-details/faf317c665546a36
Dalcha Lungiambula,68.0,185.0,76.0,Orthodox,1987-07-31,http://ufcstats.com/fighter-details/ce632027bf2a871b
Alexandru Lungu,72.0,385.0,,Orthodox,1974-09-03,http://ufcstats.com/fighter-details/4887e5bc4dbb73ff
Vicente Luque,71.0,170.0,75.0,Orthodox,1991-11-27,http://ufcstats.com/fighter-details/6d4b63c767106d3a
Thaddeus Luster,75.0,210.0,,,,http://ufcstats.com/fighter-details/505934897b8b4824
Travis Lutter,71.0,185.0,75.0,Orthodox,1973-05-12,http://ufcstats.com/fighter-details/622f015c81a9b13a
Joilton Lutterbach,73.0,185.0,75.0,Orthodox,1992-11-05,http://ufcstats.com/fighter-details/12630a4aa0894da8
Tucker Lutz,68.0,145.0,72.0,Orthodox,1994-07-12,http://ufcstats.com/fighter-details/7832f2f62f04178f
Lv Zhenhong,68.0,145.0,67.0,Switch,1993-06-25,http://ufcstats.com/fighter-details/5a4913108a3b9190
Stevie Lynch,70.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/710d93f1508f7104
Adam Lynn,70.0,155.0,,Orthodox,,http://ufcstats.com/fighter-details/edfe95e3c33a4bf8
Chris Lytle,71.0,170.0,68.0,Orthodox,1974-08-18,http://ufcstats.com/fighter-details/91acd6910b802a9e
Dong Hyun Ma,71.0,155.0,70.0,Orthodox,1988-09-09,http://ufcstats.com/fighter-details/98a6b2361045898f
Pawan Maan,67.0,155.0,70.0,Orthodox,1986-04-06,http://ufcstats.com/fighter-details/450bacdacd706bcd
William Macario,71.0,170.0,75.0,Orthodox,1991-07-01,http://ufcstats.com/fighter-details/ed74afc8b5b47a61
Jason MacDonald,75.0,185.0,80.0,Orthodox,1975-06-03,http://ufcstats.com/fighter-details/2be6596a9db33bf5
Rob MacDonald,75.0,205.0,78.0,Orthodox,1978-09-05,http://ufcstats.com/fighter-details/f3388d2cf7ab3f64
Rory MacDonald,72.0,170.0,76.0,Orthodox,1989-07-22,http://ufcstats.com/fighter-details/cbd5d3cdd862e90e
Ryan MacDonald,71.0,135.0,71.0,Switch,1993-03-18,http://ufcstats.com/fighter-details/35e1f9984ed64206
Clayton MacFarlane,,170.0,,,,http://ufcstats.com/fighter-details/39831e62d12e7ad1
Ilima Macfarlane,64.0,125.0,,,,http://ufcstats.com/fighter-details/8cf90e41646491fd
Valesca Machado,64.0,115.0,63.0,Orthodox,1996-05-06,http://ufcstats.com/fighter-details/a1a91dbf41a029c4
Caio Machado,76.0,250.0,78.0,Southpaw,1994-07-20,http://ufcstats.com/fighter-details/89839250eb25c9c1
Ian Machado Garry,75.0,170.0,74.0,Orthodox,1997-11-17,http://ufcstats.com/fighter-details/442c9011034ae1fd
Lyoto Machida,73.0,185.0,74.0,Southpaw,1978-05-30,http://ufcstats.com/fighter-details/f7a7f7118d4b01b6
War Machine,71.0,170.0,,Orthodox,1981-11-30,http://ufcstats.com/fighter-details/cd7bafbeee1f29a0
Anthony Macias,69.0,185.0,,Switch,,http://ufcstats.com/fighter-details/dedc3bb440d09554
Pauline Macias,64.0,115.0,64.0,Southpaw,1988-06-27,http://ufcstats.com/fighter-details/e88b83dea18f5d31
Reza Madadi,71.0,155.0,73.0,Orthodox,1978-06-20,http://ufcstats.com/fighter-details/e25bcbcdaf6537a1
Don Madge,72.0,155.0,72.0,Southpaw,1990-11-12,http://ufcstats.com/fighter-details/68c7ad953455c73f
Ryan Madigan,72.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/a8d521d913df4e31
Victor Madrigal,67.0,135.0,71.0,Orthodox,1990-08-16,http://ufcstats.com/fighter-details/cc63a5f0089d8ba9
Jon Madsen,72.0,240.0,72.0,Orthodox,1980-02-12,http://ufcstats.com/fighter-details/7691a80e6ca3e55b
Mark Madsen,68.0,155.0,72.0,Orthodox,1984-09-23,http://ufcstats.com/fighter-details/da0995f19b749cfa
Yoshiro Maeda,67.0,139.0,68.0,Southpaw,1981-10-31,http://ufcstats.com/fighter-details/a4bf17bd3ba3423b
Leonardo Mafra,70.0,155.0,70.0,Orthodox,1989-04-25,http://ufcstats.com/fighter-details/8bbc0cfc01bc1ba1
Vinny Magalhaes,75.0,205.0,75.0,Orthodox,1984-07-02,http://ufcstats.com/fighter-details/88a9bc81271ccd89
Vinicius Magalhaes,,145.0,,,1971-07-30,http://ufcstats.com/fighter-details/1b583c64c23f0c7f
Caio Magalhaes,73.0,185.0,73.0,Orthodox,1987-12-14,http://ufcstats.com/fighter-details/0c5c66ddd1886b83
Bernardo Magalhaes,69.0,155.0,,Orthodox,1981-04-08,http://ufcstats.com/fighter-details/7a613f78dd7ee8f8
Eric Magana,,,,,,http://ufcstats.com/fighter-details/8db1b36dde268ef6
Brandon Magana,,170.0,,Orthodox,,http://ufcstats.com/fighter-details/2015c944226ad2df
Angela Magana,61.0,115.0,65.0,Orthodox,1983-08-02,http://ufcstats.com/fighter-details/bd878a638e0e3be3
Neil Magny,75.0,170.0,80.0,Orthodox,1987-08-03,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5
Raimond Magomedaliev,73.0,170.0,75.0,Orthodox,1990-06-10,http://ufcstats.com/fighter-details/d16373b3568678d4
Ibragim Magomedov,72.0,250.0,,Orthodox,,http://ufcstats.com/fighter-details/e7e970d508529bf3
Rashid Magomedov,69.0,155.0,70.0,Orthodox,1984-11-29,http://ufcstats.com/fighter-details/7ea1f74cef32f906
Ruslan Magomedov,75.0,242.0,78.0,Orthodox,1986-11-26,http://ufcstats.com/fighter-details/369e1ce458ef50a6
Abus Magomedov,74.0,185.0,78.0,Orthodox,1990-09-02,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4
Shara Magomedov,74.0,185.0,73.0,Orthodox,1994-05-16,http://ufcstats.com/fighter-details/06734ca9d88dec3a
Murtazali Magomedov,69.0,145.0,70.0,Orthodox,1999-08-26,http://ufcstats.com/fighter-details/d436f5d55156a521
Zabit Magomedsharipov,73.0,145.0,73.0,Orthodox,1991-03-01,http://ufcstats.com/fighter-details/87aa9fb63d6b51a1
John Maguire,69.0,155.0,69.0,Southpaw,1983-05-19,http://ufcstats.com/fighter-details/1a7745388839e52b
Lolohea Mahe,,,,,,http://ufcstats.com/fighter-details/fb0b6593cec84356
Michelle Maher,,145.0,,,,http://ufcstats.com/fighter-details/118463dd8db16e7f
Maheshate,72.0,155.0,71.0,Orthodox,1999-12-01,http://ufcstats.com/fighter-details/8c1ca54b5089d199
Bill Mahood,75.0,200.0,,Orthodox,1967-02-01,http://ufcstats.com/fighter-details/ae58685caf8e4a0d
Klayton Mai,69.0,125.0,,,1986-11-30,http://ufcstats.com/fighter-details/7a9c1bb08a743d7f
Demian Maia,73.0,170.0,72.0,Southpaw,1977-11-06,http://ufcstats.com/fighter-details/427b5953ac8e3a27
Jennifer Maia,64.0,125.0,64.0,Orthodox,1988-10-06,http://ufcstats.com/fighter-details/8e1f36476ef02a6a
Nayara Maia,65.0,125.0,66.0,Orthodox,1990-07-25,http://ufcstats.com/fighter-details/03b1b79b34eaf217
Roshan Mainam,,135.0,,,,http://ufcstats.com/fighter-details/b301292b1bc92bdb
Levan Makashvili,68.0,145.0,68.0,Orthodox,1989-01-07,http://ufcstats.com/fighter-details/938ad489fb7a1f31
John Makdessi,68.0,155.0,68.0,Orthodox,1985-05-03,http://ufcstats.com/fighter-details/c21a036b4e012f1c
Islam Makhachev,70.0,170.0,70.0,Southpaw,1991-10-27,http://ufcstats.com/fighter-details/275aca31f61ba28c
Aliev Makhmud,66.0,195.0,,Southpaw,1970-02-13,http://ufcstats.com/fighter-details/3d481aa374c954a1
Zach Makovsky,64.0,125.0,64.0,Southpaw,1983-04-19,http://ufcstats.com/fighter-details/57ab4d7c0bc09a30
Azat Maksum,67.0,125.0,70.0,Southpaw,1995-02-02,http://ufcstats.com/fighter-details/7f1bf0c255ec8756
Jeremy Malaterre,71.0,155.0,,,,http://ufcstats.com/fighter-details/110404b505fb562c
Fabio Maldonado,73.0,205.0,75.0,Orthodox,1980-03-17,http://ufcstats.com/fighter-details/1fb80f46d3c105d9
Marvin Maldonado,66.0,135.0,,,,http://ufcstats.com/fighter-details/e5ce754b01f922be
Bea Malecki,69.0,135.0,74.0,Orthodox,1991-08-23,http://ufcstats.com/fighter-details/b60c980f79b87ce8
Nazareno Malegarie,68.0,155.0,,,1986-05-16,http://ufcstats.com/fighter-details/d38e8c6ae2dfc051
Carl Malenko,71.0,200.0,,Orthodox,,http://ufcstats.com/fighter-details/a314687f372b2cec
Jacob Malkoun,69.0,185.0,73.0,Orthodox,1995-08-26,http://ufcstats.com/fighter-details/d4270315cbcf2569
Mike Malott,73.0,170.0,73.0,Orthodox,1991-11-07,http://ufcstats.com/fighter-details/dd6103dd7127db1d
Regina Malpica Rivera,,135.0,,,2004-10-19,http://ufcstats.com/fighter-details/9f5609dba6584ab2
Dan Manasoiu,,,,,,http://ufcstats.com/fighter-details/eefc73b53d4a05d7
Troy Mandaloniz,69.0,170.0,,Orthodox,1980-02-01,http://ufcstats.com/fighter-details/725a834930c2b5bf
Nate Maness,70.0,125.0,72.0,Orthodox,1991-06-27,http://ufcstats.com/fighter-details/6e9f40c706f91f32
Michael Mangan,,155.0,,,,http://ufcstats.com/fighter-details/9297ce6eee046f7a
Gary Mangat,67.0,135.0,,,,http://ufcstats.com/fighter-details/1c0ffc63d8ec8f45
George Mangos,70.0,145.0,70.0,Switch,2003-08-19,http://ufcstats.com/fighter-details/122ae3b34275fbb2
Melvin Manhoef,69.0,185.0,,Orthodox,1976-05-11,http://ufcstats.com/fighter-details/e5767ed355a937c2
Melchor Manibusan,65.0,154.0,,Southpaw,1976-12-27,http://ufcstats.com/fighter-details/b6c6d1731ff00eeb
Jon Manley,73.0,170.0,,Orthodox,1986-07-07,http://ufcstats.com/fighter-details/a0602dd050bebefc
Steve Mann,73.0,170.0,,,,http://ufcstats.com/fighter-details/0eef1bf99afd4ff2
Marnic Mann,60.0,115.0,64.0,Southpaw,1993-03-05,http://ufcstats.com/fighter-details/b6203e0492a9336c
Dylan Mantello,73.0,155.0,73.0,Orthodox,1992-11-19,http://ufcstats.com/fighter-details/e192ebb85b68fa9e
Chris Manuel,69.0,135.0,,Orthodox,1987-07-21,http://ufcstats.com/fighter-details/a23e63184c65f5b8
Jimi Manuwa,73.0,205.0,79.0,Orthodox,1980-02-18,http://ufcstats.com/fighter-details/1e1dbd1cc5a7469e
Dom Mar Fan,71.0,155.0,75.0,Orthodox,2000-03-19,http://ufcstats.com/fighter-details/530af2900b5a1693
Cristiano Marcello,69.0,155.0,72.0,Orthodox,1977-12-03,http://ufcstats.com/fighter-details/ff4c3ab594c7fac3
Daniel Marcos,67.0,135.0,69.0,Orthodox,1993-03-07,http://ufcstats.com/fighter-details/850266b3dc4e506e
Jose Maria,65.0,125.0,,Orthodox,1982-01-04,http://ufcstats.com/fighter-details/b35ba64b6a2bbcb3
Marcos Mariano,73.0,155.0,76.0,Switch,1986-10-12,http://ufcstats.com/fighter-details/72e5e5a6edfa8223
Enrique Marin,70.0,170.0,,,1986-09-02,http://ufcstats.com/fighter-details/23a6e307077c6ccc
Chepe Mariscal,67.0,145.0,69.0,Orthodox,1992-10-27,http://ufcstats.com/fighter-details/e0c6edcb5b5d0b90
Ronny Markes,73.0,185.0,75.0,Orthodox,1988-04-21,http://ufcstats.com/fighter-details/bd21a1e3d41c97ee
Rory Markham,72.0,170.0,71.0,Orthodox,1982-03-25,http://ufcstats.com/fighter-details/23a16ebe733e3041
Randa Markos,64.0,115.0,63.0,Orthodox,1985-08-10,http://ufcstats.com/fighter-details/4a57ebb14315b251
Christina Marks,67.0,125.0,69.0,Orthodox,1985-11-08,http://ufcstats.com/fighter-details/c7be22a47a58365a
Brendon Marotte,69.0,145.0,70.0,Orthodox,1996-01-12,http://ufcstats.com/fighter-details/d7fe8c6b7d2872e5
Nate Marquardt,72.0,185.0,74.0,Orthodox,1979-04-20,http://ufcstats.com/fighter-details/a8e6a69796280f17
Danilo Marques,78.0,205.0,77.0,Orthodox,1985-12-26,http://ufcstats.com/fighter-details/687c15b2eddfaa63
Julian Marquez,74.0,185.0,72.0,Orthodox,1990-05-08,http://ufcstats.com/fighter-details/d0e1b42d41dab603
Carmelo Marrero,72.0,205.0,73.0,Orthodox,1981-01-26,http://ufcstats.com/fighter-details/aa03a3ca00ac6827
Cesar Marscucci,,,,,,http://ufcstats.com/fighter-details/e8efeb9cf33b1941
John Marsh,72.0,265.0,,Orthodox,1970-09-15,http://ufcstats.com/fighter-details/b6b12014698cc345
